query	afdb	neighborhood_name	prediction	VFID	vf_category	VF_subcategory_high	gff	ANI_organism	genus	VF subcategory_low	pident	alntmscore	lddt	qcov
VFG000194(gb|NP_250390)	AF-A0A7G7FFF4-F1-model_v4	WP_005334576.1!!!GCF_012029545.1_ASM1202954v1!!!NZ_JAAQQO010000005.1!!!113453-102504	Type III secretion system (T3SS)	VF0083	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_012029545.1	Aeromonas veronii	Aeromonas	 Type III secretion system (T3SS)	57.7	0.984	0.9299	0.978
VFG000194(gb|NP_250390)	AF-N9VDM4-F1-model_v4	WP_017786716.1!!!GCF_001306015.1_ASM130601v1!!!NZ_KQ464176.1!!!2769776-2783111	Type III secretion system (T3SS)	VF0083	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_001306015.1	Aeromonas dhakensis	Aeromonas	 Type III secretion system (T3SS)	56.6	0.9862	0.9328	0.978
VFG000194(gb|NP_250390)	AF-A0A8A7JY51-F1-model_v4	WP_135319324.1!!!GCF_019348935.1_ASM1934893v1!!!NZ_WTZF01000003.1!!!19730-8388	Type III secretion system (T3SS)	VF0083	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_019348935.1	Aeromonas hydrophila	Aeromonas	 Type III secretion system (T3SS)	54.4	0.9763	0.9231	0.978
VFG000194(gb|NP_250390)	AF-A0A2M8HCI9-F1-model_v4	WP_042654975.1!!!GCF_900637545.1_51438_G01!!!NZ_LR134376.1!!!3091732-3080894	Type III secretion system (T3SS)	VF0083	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_900637545.1	Aeromonas encheleia	Aeromonas	 Type III secretion system (T3SS)	55.5	0.9781	0.909	0.978
VFG000194(gb|NP_250390)	AF-Q699R7-F1-model_v4	WP_005334576.1!!!GCF_001446895.1_ASM144689v1!!!NZ_LKKI01000013.1!!!248873-260447	Type III secretion system (T3SS)	VF0083	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_001446895.1	Aeromonas allosaccharophila	Aeromonas	 Type III secretion system (T3SS)	55.5	0.9805	0.9227	0.978
VFG000194(gb|NP_250390)	AF-Q66PU2-F1-model_v4	WP_050920375.1!!!GCF_001185275.1_ASM118527v1!!!NZ_JPTG01000697.1!!!1-12627	Type III secretion system (T3SS)	VF0083	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_001185275.1	Vibrio campbellii	Vibrio	 Type III secretion system (T3SS)	50.0	0.9827	0.9359	0.978
VFG000194(gb|NP_250390)	AF-A0A0L6FU99-F1-model_v4	WP_186714741.1!!!GCF_014268865.1_ASM1426886v1!!!NZ_JABWRI010000022.1!!!72117-83323	Type III secretion system (T3SS)	VF0083	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_014268865.1	Pseudomonas peradeniyensis	Pseudomonas	 Type III secretion system (T3SS)	47.2	0.9676	0.8972	0.989
VFG000194(gb|NP_250390)	AF-A0A126S2N0-F1-model_v4	WP_062573472.1!!!GCF_029838575.1_ASM2983857v1!!!NZ_JAOBYZ010000002.1!!!64783-77010	Type III secretion system (T3SS)	VF0083	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_029838575.1	Pseudomonas mosselii	Pseudomonas	 Type III secretion system (T3SS)	45.5	0.9719	0.8815	0.978
VFG000194(gb|NP_250390)	AF-A0A0F7XVP5-F1-model_v4	WP_110700836.1!!!GCF_003205305.1_ASM320530v1!!!NZ_QJRO01000008.1!!!113644-124606	Type III secretion system (T3SS)	VF0083	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_003205305.1	Pseudomonas soli	Pseudomonas	 Type III secretion system (T3SS)	48.3	0.9573	0.8525	0.989
VFG000194(gb|NP_250390)	AF-A0A128FHP3-F1-model_v4	WP_005426113.1!!!GCF_002930005.1_ASM293000v1!!!NZ_PKNK01000152.1!!!91-21637	Type III secretion system (T3SS)	VF0083	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_002930005.1	Vibrio jasicida	Vibrio	 Type III secretion system (T3SS)	50.0	0.9462	0.8903	1.0
VFG000194(gb|NP_250390)	AF-A0A246H2C2-F1-model_v4	WP_028692484.1!!!GCF_016008825.1_ASM1600882v1!!!NZ_JADTVX010000034.1!!!22933-46319	Type III secretion system (T3SS)	VF0083	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_016008825.1	Pseudomonas mosselii	Pseudomonas	 Type III secretion system (T3SS)	48.3	0.9609	0.8809	0.989
VFG000205(gb|NP_250401)	AF-A0A263NZQ2-F1-model_v4	WP_095187048.1!!!GCF_900187585.1_3E19!!!NZ_FYDT01000001.1!!!222151-211057	Type III secretion system (T3SS)	VF0083	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_900187585.1	Pseudomonas baetica	Pseudomonas	 Type III secretion system (T3SS)	74.8	0.9209	0.9097	1.0
VFG000205(gb|NP_250401)	AF-A0A105T308-F1-model_v4	WP_047279434.1!!!GCF_012986435.1_ASM1298643v1!!!NZ_JAAQYD010000001.1!!!157714-170082	Type III secretion system (T3SS)	VF0083	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_012986435.1	Pseudomonas lundensis	Pseudomonas	 Type III secretion system (T3SS)	70.2	0.9064	0.9194	1.0
VFG000205(gb|NP_250401)	AF-A0A7Y1MQ92-F1-model_v4	WP_076963246.1!!!GCF_002699915.1_ASM269991v1!!!NZ_LKBY01000113.1!!!102060-91834	Type III secretion system (T3SS)	VF0083	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_002699915.1	Pseudomonas gessardii	Pseudomonas	 Type III secretion system (T3SS)	72.7	0.9033	0.9113	1.0
VFG000205(gb|NP_250401)	AF-A0A8B3J2G7-F1-model_v4	WP_323893542.1!!!GCF_035203845.1_ASM3520384v1!!!NZ_JAPEED010000014.1!!!55308-66775	Type III secretion system (T3SS)	VF0083	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_035203845.1	Aeromonas allosaccharophila	Aeromonas	 Type III secretion system (T3SS)	59.3	0.9773	0.9212	0.917
VFG000205(gb|NP_250401)	AF-A0A4R4K7M2-F1-model_v4	WP_046973764.1!!!GCF_001010285.1_ASM101028v1!!!NZ_CP011104.1!!!576769-564503	Type III secretion system (T3SS)	VF0083	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_001010285.1	Photorhabdus temperata	Photorhabdus	 Type III secretion system (T3SS)	55.1	0.9169	0.8948	1.0
VFG000205(gb|NP_250401)	AF-A0A5B0X6K3-F1-model_v4	WP_046973764.1!!!GCF_001010285.1_ASM101028v1!!!NZ_CP011104.1!!!576769-564503	Type III secretion system (T3SS)	VF0083	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_001010285.1	Photorhabdus temperata	Photorhabdus	 Type III secretion system (T3SS)	55.7	0.9127	0.8789	1.0
VFG000205(gb|NP_250401)	AF-A0A022PSW2-F1-model_v4	WP_112894993.1!!!GCF_963878445.1_ena-yuan-GCF_003287735.1!!!NZ_CAWNYH010000009.1!!!16227-5169	Type III secretion system (T3SS)	VF0083	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_963878445.1	Photorhabdus bodei	Photorhabdus	 Type III secretion system (T3SS)	55.1	0.9084	0.8911	1.0
VFG000205(gb|NP_250401)	AF-Q5XL00-F1-model_v4	WP_005302426.1!!!GCF_040908225.1_ASM4090822v1!!!NZ_JBFODH010000019.1!!!301560-312903	Type III secretion system (T3SS)	VF0083	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_040908225.1	Aeromonas dhakensis	Aeromonas	 Type III secretion system (T3SS)	54.4	0.9092	0.8865	1.0
VFG000205(gb|NP_250401)	AF-A0A3N6VDV5-F1-model_v4	WP_033113167.1!!!GCF_034720715.1_ASM3472071v1!!!NZ_JAWQEI010000032.1!!!30641-42792	Type III secretion system (T3SS)	VF0083	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_034720715.1	Aeromonas jandaei	Aeromonas	 Type III secretion system (T3SS)	53.0	0.9124	0.881	1.0
VFG033511(gb|WP_000803678)	AF-Q8VNR9-F1-model_v4	WP_001050796.1!!!GCF_002769235.1_ASM276923v1!!!NZ_BETC01000069.1!!!1-14775	Type III secretion system (T3SS)	VF0172	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_002769235.1	Escherichia coli	Escherichia	 T3SS components	88.5	0.9778	0.9482	1.0
VFG033511(gb|WP_000803678)	AF-W0AN92-F1-model_v4	WP_059218938.1!!!GCF_005404305.1_ASM540430v1!!!NZ_BJDA01000009.1!!!166486-180443	Type III secretion system (T3SS)	VF0172	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_005404305.1	Escherichia albertii	Escherichia	 T3SS components	87.5	0.9542	0.9195	1.0
VFG033511(gb|WP_000803678)	AF-A0A737XZ77-F1-model_v4	WP_024136949.1!!!GCF_016903075.1_ASM1690307v1!!!NZ_CP070222.1!!!761451-775672	Type III secretion system (T3SS)	VF0172	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_016903075.1	Salmonella enterica	Salmonella	 T3SS components	39.3	0.9524	0.8484	0.967
VFG002397(gb|NP_216298)	AF-A0A1X1YLN5-F1-model_v4	WP_085249316.1!!!GCF_963853645.1_MriyDSM45176v1!!!NZ_OY970456.1!!!2976375-3006258	Type VII secretion system (T7SS)	VF0402	Type VII secretion system (T7SS)	Type VII secretion system (T7SS)	GCF_963853645.1	Mycobacterium riyadhense	Mycobacterium	 T7SSa components	87.5	0.9727	0.9874	1.0
VFG002397(gb|NP_216298)	AF-A0A1X0A7I1-F1-model_v4	WP_085249316.1!!!GCF_905219535.1_MR226!!!NZ_CAJMWN010000001.1!!!3177714-3207596	Type VII secretion system (T7SS)	VF0402	Type VII secretion system (T7SS)	Type VII secretion system (T7SS)	GCF_905219535.1	Mycobacterium riyadhense	Mycobacterium	 T7SSa components	86.9	0.9835	0.9808	1.0
VFG002397(gb|NP_216298)	AF-A0A1X1XL39-F1-model_v4	WP_085249316.1!!!GCF_963853645.1_MriyDSM45176v1!!!NZ_OY970456.1!!!2976375-3006258	Type VII secretion system (T7SS)	VF0402	Type VII secretion system (T7SS)	Type VII secretion system (T7SS)	GCF_963853645.1	Mycobacterium riyadhense	Mycobacterium	 T7SSa components	87.1	0.947	0.9871	1.0
VFG002397(gb|NP_216298)	AF-A0A1X1VNV6-F1-model_v4	WP_023363975.1!!!GCF_002920665.1_ASM292066v1!!!NZ_PQOM01000076.1!!!1-24271	Type VII secretion system (T7SS)	VF0402	Type VII secretion system (T7SS)	Type VII secretion system (T7SS)	GCF_002920665.1	Mycobacterium kansasii	Mycobacterium	 T7SSa components	88.5	0.9155	0.9833	1.0
VFG002397(gb|NP_216298)	AF-A0A2Z5YF42-F1-model_v4	WP_036455653.1!!!GCF_964110695.1_M_marinum_RIVM_00492!!!NZ_CAXLAC010000003.1!!!45678-76153	Type VII secretion system (T7SS)	VF0402	Type VII secretion system (T7SS)	Type VII secretion system (T7SS)	GCF_964110695.1	Mycobacterium marinum	Mycobacterium	 T7SSa components	85.9	0.9699	0.9731	1.0
VFG002397(gb|NP_216298)	AF-A0A3E1HH46-F1-model_v4	WP_010908396.1!!!GCF_001653495.1_ASM165349v1!!!NZ_LYPH01000053.1!!!688-18717	Type VII secretion system (T7SS)	VF0402	Type VII secretion system (T7SS)	Type VII secretion system (T7SS)	GCF_001653495.1	Mycobacterium lepromatosis	Mycobacterium	 T7SSa components	83.0	0.9693	0.982	1.0
VFG002397(gb|NP_216298)	AF-A0A1X1R2D4-F1-model_v4	WP_068187773.1!!!GCF_000455205.1_Mycobacterium_sp_UM_CSW!!!NZ_AUWQ01000095.1!!!1-17807	Type VII secretion system (T7SS)	VF0402	Type VII secretion system (T7SS)	Type VII secretion system (T7SS)	GCF_000455205.1	Mycobacterium interjectum	Mycobacterium	 T7SSa components	85.1	0.9493	0.9669	1.0
VFG002397(gb|NP_216298)	AF-A0A2U2E5J3-F1-model_v4	WP_003876467.1!!!GCF_020054515.1_ASM2005451v1!!!NZ_WEHI01000037.1!!!23508-45655	Type VII secretion system (T7SS)	VF0402	Type VII secretion system (T7SS)	Type VII secretion system (T7SS)	GCF_020054515.1	Mycobacterium avium	Mycobacterium	 T7SSa components	82.6	0.9536	0.9654	1.0
VFG002397(gb|NP_216298)	AF-A0A1E3TCA1-F1-model_v4	WP_045379699.1!!!GCF_002101735.1_ASM210173v1!!!NZ_LQPE01000150.1!!!36301-56048	Type VII secretion system (T7SS)	VF0402	Type VII secretion system (T7SS)	Type VII secretion system (T7SS)	GCF_002101735.1	Mycobacterium kyorinense	Mycobacterium	 T7SSa components	79.4	0.9485	0.9571	0.998
VFG002397(gb|NP_216298)	AF-A0A7I7MPP6-F1-model_v4	WP_083051910.1!!!GCF_963853675.1_MshiDSM45663v1!!!NZ_OY970454.1!!!2158847-2189810	Type VII secretion system (T7SS)	VF0402	Type VII secretion system (T7SS)	Type VII secretion system (T7SS)	GCF_963853675.1	Mycobacterium shinjukuense	Mycobacterium	 T7SSa components	85.7	0.9801	0.959	0.915
VFG002397(gb|NP_216298)	AF-A0A2R5H7L1-F1-model_v4	WP_085225324.1!!!GCF_025823305.1_ASM2582330v1!!!NZ_JACKVN010000013.1!!!4181675-4211835	Type VII secretion system (T7SS)	VF0402	Type VII secretion system (T7SS)	Type VII secretion system (T7SS)	GCF_025823305.1	Mycobacterium florentinum	Mycobacterium	 T7SSa components	81.5	0.9446	0.9444	0.933
VFG002397(gb|NP_216298)	AF-A0A1X1YFI2-F1-model_v4	WP_112687839.1!!!GCF_003284925.1_ASM328492v1!!!NZ_QMEX01000105.1!!!1-12803	Type VII secretion system (T7SS)	VF0402	Type VII secretion system (T7SS)	Type VII secretion system (T7SS)	GCF_003284925.1	Mycobacterium novum	Mycobacterium	 T7SSa components	70.6	0.9323	0.9294	0.994
VFG002397(gb|NP_216298)	AF-A0A7U5MR16-F1-model_v4	WP_081232030.1!!!GCF_001610335.1_ASM161033v1!!!NZ_LNAI01000072.1!!!313-15288	Type VII secretion system (T7SS)	VF0402	Type VII secretion system (T7SS)	Type VII secretion system (T7SS)	GCF_001610335.1	Mycobacterium avium	Mycobacterium	 T7SSa components	56.8	0.9258	0.9093	0.998
VFG002397(gb|NP_216298)	AF-A0A1X0AHG8-F1-model_v4	WP_225341203.1!!!GCF_048282875.1_ASM4828287v1!!!NZ_JBLVUM010000003.1!!!221138-251844	Type VII secretion system (T7SS)	VF0402	Type VII secretion system (T7SS)	Type VII secretion system (T7SS)	GCF_048282875.1	Mycolicibacterium peregrinum	Mycolicibacterium	 T7SSa components	52.9	0.9159	0.9033	1.0
VFG002397(gb|NP_216298)	AF-A0A1A3FQ09-F1-model_v4	WP_009979957.1!!!GCF_038446185.1_ASM3844618v1!!!NZ_CP085280.1!!!5214643-5243771	Type VII secretion system (T7SS)	VF0402	Type VII secretion system (T7SS)	Type VII secretion system (T7SS)	GCF_038446185.1	Mycobacterium avium	Mycobacterium	 T7SSa components	40.0	0.902	0.8283	0.974
VFG002397(gb|NP_216298)	AF-A0A7I7KGG7-F1-model_v4	WP_061557708.1!!!GCF_002093075.1_ASM209307v1!!!NZ_MZZM01000020.1!!!29347-60038	Type VII secretion system (T7SS)	VF0402	Type VII secretion system (T7SS)	Type VII secretion system (T7SS)	GCF_002093075.1	Mycobacterium simiae	Mycobacterium	 T7SSa components	37.0	0.903	0.8208	0.968
VFG002397(gb|NP_216298)	AF-A0A7G7DV75-F1-model_v4	WP_003400065.1!!!GCF_000667445.1_Myco_afri_MAL020185_V1!!!NZ_KK339270.1!!!430328-460025	Type VII secretion system (T7SS)	VF0402	Type VII secretion system (T7SS)	Type VII secretion system (T7SS)	GCF_000667445.1	Mycobacterium tuberculosis	Mycobacterium	 T7SSa components	39.7	0.9038	0.8188	0.974
VFG002397(gb|NP_216298)	AF-A0A1B8SC27-F1-model_v4	WP_013827002.1!!!GCF_041287085.1_ASM4128708v1!!!NZ_JBGGKU010000004.1!!!253608-282888	Type VII secretion system (T7SS)	VF0402	Type VII secretion system (T7SS)	Type VII secretion system (T7SS)	GCF_041287085.1	Mycobacterium novum	Mycobacterium	 T7SSa components	37.5	0.9039	0.8185	0.974
VFG002397(gb|NP_216298)	AF-A0A2V0N2R7-F1-model_v4	WP_269089386.1!!!GCF_002089695.1_ASM208969v1!!!NZ_BDNY01000021.1!!!3909-34780	Type VII secretion system (T7SS)	VF0402	Type VII secretion system (T7SS)	Type VII secretion system (T7SS)	GCF_002089695.1	Mycobacterium avium	Mycobacterium	 T7SSa components	38.7	0.9113	0.8135	0.962
VFG002397(gb|NP_216298)	AF-O33088-F1-model_v4	WP_010907492.1!!!GCF_003253775.1_ASM325377v1!!!NZ_CP029543.1!!!51962-81510	Type VII secretion system (T7SS)	VF0402	Type VII secretion system (T7SS)	Type VII secretion system (T7SS)	GCF_003253775.1	Mycobacterium lepromatosis	Mycobacterium	 T7SSa components	32.6	0.9091	0.7854	0.974
VFG000842(gb|WP_000839950)	AF-A0A2C5TKE0-F1-model_v4	WP_006534857.1!!!GCF_031870635.1_ASM3187063v1!!!NZ_JAPGQK010000001.1!!!71110-99421	Exotoxin	VF0207	Exotoxin	Membrane-acting toxin	GCF_031870635.1	Proteus penneri	Proteus	 Pore forming toxin (PFT)	67.6	0.9998	0.9556	0.959
VFG000111(gb|NP_253215)	AF-Q5DVW8-F1-model_v4	WP_031636800.1!!!GCF_000786565.1_ASM78656v1!!!NZ_JRGP01000006.1!!!6463-32757	Adherence	VF0082	Adherence	Fimbrial adhesin	GCF_000786565.1	Pseudomonas aeruginosa	Pseudomonas	 Type IVa pili (T4aP)	80.4	0.969	0.9569	0.96
VFG000111(gb|NP_253215)	AF-A0A2W7K052-F1-model_v4	WP_401172631.1!!!GCF_044746425.1_ASM4474642v1!!!NZ_JBIVCD010000006.1!!!134337-163232	Adherence	VF0082	Adherence	Fimbrial adhesin	GCF_044746425.1	Pseudomonas farris	Pseudomonas	 Type IVa pili (T4aP)	36.2	0.9038	0.8056	0.993
VFG000111(gb|NP_253215)	AF-A0A5D3GB29-F1-model_v4	WP_178919295.1!!!GCF_024810135.1_ASM2481013v1!!!NZ_JANUEA010000002.1!!!707950-737581	Adherence	VF0082	Adherence	Fimbrial adhesin	GCF_024810135.1	Pseudomonas azotoformans	Pseudomonas	 Type IVa pili (T4aP)	35.1	0.9077	0.7834	0.987
VFG000111(gb|NP_253215)	AF-A0A1B5FHK7-F1-model_v4	WP_026067420.1!!!GCF_000308175.1_PseuFluoBS2!!!NZ_AMZG01000036.1!!!8806-38345	Adherence	VF0082	Adherence	Fimbrial adhesin	GCF_000308175.1	Pseudomonas asgharzadehiana	Pseudomonas	 Type IVa pili (T4aP)	33.3	0.9036	0.7906	1.0
VFG000111(gb|NP_253215)	AF-A0A7Y7ZWB2-F1-model_v4	WP_003215925.1!!!GCF_000278565.1_ASM27856v1!!!NZ_AKVH01000107.1!!!97809-86580	Adherence	VF0082	Adherence	Fimbrial adhesin	GCF_000278565.1	Pseudomonas yamanorum	Pseudomonas	 Type IVa pili (T4aP)	33.5	0.9002	0.7836	0.993
VFG000111(gb|NP_253215)	AF-A0A5C5QAC9-F1-model_v4	WP_017845468.1!!!GCF_000350565.1_P.ver1YdBTEX2v.1!!!NZ_AOUH01000008.1!!!72539-102048	Adherence	VF0082	Adherence	Fimbrial adhesin	GCF_000350565.1	Pseudomonas veronii	Pseudomonas	 Type IVa pili (T4aP)	32.4	0.909	0.7741	0.987
VFG000111(gb|NP_253215)	AF-A0A7U0GSR2-F1-model_v4	WP_014716874.1!!!GCF_002883585.1_FW305-124!!!NZ_POGW01000019.1!!!81840-102520	Adherence	VF0082	Adherence	Fimbrial adhesin	GCF_002883585.1	Pseudomonas paracarnis	Pseudomonas	 Type IVa pili (T4aP)	33.7	0.904	0.7751	0.987
VFG000111(gb|NP_253215)	AF-A0A5M8EGB4-F1-model_v4	WP_024073385.1!!!GCF_012274305.1_ASM1227430v1!!!NZ_JAARMA010000004.1!!!278404-308105	Adherence	VF0082	Adherence	Fimbrial adhesin	GCF_012274305.1	Pseudomonas gorinensis	Pseudomonas	 Type IVa pili (T4aP)	34.4	0.9078	0.7753	0.987
VFG000111(gb|NP_253215)	AF-A0A4Z0B8Y5-F1-model_v4	WP_185708450.1!!!GCF_014230445.1_ASM1423044v1!!!NZ_JAAXCZ010000007.1!!!97280-126766	Adherence	VF0082	Adherence	Fimbrial adhesin	GCF_014230445.1	Pseudomonas cremoris	Pseudomonas	 Type IVa pili (T4aP)	33.1	0.9019	0.7758	0.987
VFG002086(gb|WP_001223388)	AF-A0A0N8VC98-F1-model_v4	WP_258462685.1!!!GCF_024743495.1_ASM2474349v1!!!NZ_JAMQXW010000005.1!!!126-25278	Type VI secretion system (T6SS)	VF0335	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_024743495.1	Vibrio metoecus	Vibrio	 T6SS components	79.3	0.9057	0.9277	1.0
VFG002086(gb|WP_001223388)	AF-D2YAQ6-F1-model_v4	WP_000647408.1!!!GCF_008084745.1_ASM808474v1!!!NZ_VSGA01000014.1!!!348529-378930	Type VI secretion system (T6SS)	VF0335	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_008084745.1	Vibrio mimicus	Vibrio	 T6SS components	76.2	0.9018	0.9452	1.0
VFG038619(gb|WP_016349413)	AF-A0A4U1YNW4-F1-model_v4	WP_225454697.1!!!GCF_041647835.1_ASM4164783v1!!!NZ_JAVKUV010000018.1!!!572-27810	Motility	VF0473	Motility	Flagella-mediated motility	GCF_041647835.1	Vibrio vulnificus	Vibrio	 Flagella assembly	49.4	0.904	0.9056	0.985
VFG038619(gb|WP_016349413)	AF-A0A2J8GRB7-F1-model_v4	WP_001883957.1!!!GCF_021014865.1_ASM2101486v1!!!NZ_QYYU01000006.1!!!89266-77151	Motility	VF0473	Motility	Flagella-mediated motility	GCF_021014865.1	Vibrio cholerae	Vibrio	 Flagella assembly	48.9	0.9027	0.9081	0.985
VFG047834(gb|WP_003016192)	AF-F8GC23-F1-model_v4	WP_012280729.1!!!GCF_016600535.1_ASM1660053v1!!!NZ_JACVJY010000027.1!!!67348-88012	Type VI secretion system (T6SS)	VF0544	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_016600535.1	Francisella philomiragia	Francisella	 T6SS components	85.9	0.9697	0.9559	1.0
VFG047834(gb|WP_003016192)	AF-A0A153JBL1-F1-model_v4	WP_003016192.1!!!GCF_030489565.1_ASM3048956v1!!!NZ_JAUKFI010000002.1!!!512841-542954	Type VI secretion system (T6SS)	VF0544	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_030489565.1	Francisella tularensis	Francisella	 T6SS components	91.4	0.9175	0.9442	1.0
